b,betas,time,LLF,converged
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.046875,-32.72340916,FALSE
0.048799943,[-1.34281568  0.15349584],0.03125,-32.72340916,FALSE
,,0.03375,,0
