b,betas,time,LLF,converged
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.046875,-31.80318714,FALSE
0.047860556,[-1.66463003  0.14696135  0.31375904],0.0625,-31.80318714,FALSE
